App_row,sex,grp,stature,Hum,Rad,Uln,Fem,Tib,Fib,Fem+Tib
1_1,1,1,1520,265,193,211,381,291,299,685
1_2,1,1,1530,268,196,213,385,295,303,693
1_3,1,1,1540,271,198,216,389,299,307,701
1_4,1,1,1550,275,201,219,393,303,311,708
1_5,1,1,1560,278,204,222,398,307,314,716
1_6,1,1,1570,281,206,224,402,311,318,723
1_7,1,1,1580,284,209,227,406,315,322,731
1_8,1,1,1590,288,212,230,410,319,326,738
1_9,1,1,1600,291,214,232,414,323,329,746
1_10,1,1,1610,291,217,235,419,327,333,753
1_11,1,1,1620,297,220,238,423,331,337,761
1_12,1,1,1630,301,222,240,427,335,340,769
1_13,1,1,1640,304,225,243,431,339,344,776
1_14,1,1,1650,307,228,246,435,343,348,784
1_15,1,1,1660,310,230,249,440,347,352,791
1_16,1,1,1670,314,233,251,444,351,355,799
1_17,1,1,1680,317,235,254,448,355,359,806
1_18,1,1,1690,320,238,257,452,359,363,814
1_19,1,1,1700,323,241,259,456,363,367,821
1_20,1,1,1710,327,243,262,461,367,370,829
1_21,1,1,1720,330,246,265,465,371,374,837
1_22,1,1,1730,333,249,267,469,375,378,844
1_23,1,1,1740,336,251,270,473,379,381,852
1_24,1,1,1750,339,254,273,477,383,385,859
1_25,1,1,1760,343,257,276,482,386,389,867
1_26,1,1,1770,346,259,278,486,390,393,874
1_27,1,1,1780,349,262,281,490,394,396,882
1_28,1,1,1790,352,265,284,494,398,400,889
1_29,1,1,1800,356,267,286,498,402,404,897
1_30,1,1,1810,359,270,289,503,406,408,905
1_31,1,1,1820,362,272,292,507,410,411,912
1_32,1,1,1830,365,275,294,511,414,415,920
1_33,1,1,1840,369,278,297,515,418,419,927
1_34,1,1,1850,372,280,300,519,422,422,935
1_35,1,1,1860,375,283,303,524,426,426,942
1_36,1,1,1870,378,286,305,528,430,430,950
1_37,1,1,1880,382,288,308,532,434,434,957
1_38,1,1,1890,385,291,311,536,438,437,965
1_39,1,1,1900,388,294,313,540,442,441,973
1_40,1,1,1910,391,296,316,545,446,445,980
1_41,1,1,1920,395,299,319,549,450,449,988
1_42,1,1,1930,398,302,321,553,454,452,995
1_43,1,1,1940,401,304,324,557,458,456,1003
1_44,1,1,1950,404,307,327,561,462,460,1010
1_45,1,1,1960,408,309,330,566,466,463,1018
1_46,1,1,1970,411,312,332,570,470,467,1026
1_47,1,1,1980,414,315,335,574,474,471,1033
2_1,1,2,1520,276,206,223,387,301,303,704
2_2,1,2,1530,279,209,226,391,306,308,713
2_3,1,2,1540,282,212,229,396,310,312,721
2_4,1,2,1550,285,215,232,401,315,317,730
2_5,1,2,1560,288,218,235,406,320,321,739
2_6,1,2,1570,291,221,238,410,324,326,747
2_7,1,2,1580,294,224,242,415,329,330,756
2_8,1,2,1590,297,226,245,420,333,335,765
2_9,1,2,1600,300,229,248,425,338,339,774
2_10,1,2,1610,303,232,251,430,342,344,782
2_11,1,2,1620,306,235,254,434,347,349,791
2_12,1,2,1630,310,238,257,439,352,353,800
2_13,1,2,1640,313,241,260,444,356,358,808
2_14,1,2,1650,316,244,263,449,361,362,817
2_15,1,2,1660,319,247,266,453,365,367,826
2_16,1,2,1670,322,250,269,458,370,377,834
2_17,1,2,1680,325,253,272,463,374,376,843
2_18,1,2,1690,328,256,275,468,379,381,852
2_19,1,2,1700,331,259,278,472,383,385,861
2_20,1,2,1710,334,262,281,477,388,390,869
2_21,1,2,1720,337,264,284,482,393,394,878
2_22,1,2,1730,340,267,287,487,397,399,887
2_23,1,2,1740,343,270,291,491,402,403,895
2_24,1,2,1750,346,273,294,496,406,408,904
2_25,1,2,1760,349,276,297,501,411,413,913
2_26,1,2,1770,352,279,300,506,415,417,921
