# resource: Bach 1965 tables p. 18, 19
# description: Data as given in millimeters, but stature converted to millimeters as well.
# Sex added according to table subscription. 
sex,Hum1,Hum2,Rad1b,stature,Fem1,Tib1b
f,220,215,146,1450,292,281
f,224,219,151,1460,299,287
f,229,224,156,1470,307,293
f,233,229,162,1480,315,298
f,239,234,167,1490,322,301
f,243,238,172,1500,330,310
f,248,243,177,1510,337,316
f,253,248,182,1520,345,321
f,257,252,187,1530,353,327
f,262,257,193,1540,360,333
f,267,262,198,1550,368,339
f,272,267,203,1560,375,344
f,276,271,208,1570,383,350
f,281,276,213,1580,391,356
f,286,281,219,1590,398,361
f,290,285,224,1600,406,367
f,295,290,229,1610,414,373
f,300,295,234,1620,421,379
f,305,300,239,1630,429,384
f,309,304,245,1640,436,390
f,314,309,250,1650,444,396
f,319,314,255,1660,452,402
f,323,318,260,1670,459,407
f,328,323,265,1680,467,413
f,333,328,271,1690,474,419
f,338,333,276,1700,482,425
f,342,337,281,1710,490,430
f,347,342,286,1720,497,436
f,352,347,291,1730,505,442
f,356,351,297,1740,513,447
f,361,356,302,1750,520,453
m,268,261,192,1540,363,294
m,272,264,195,1550,369,299
m,276,268,198,1560,375,304
m,279,272,202,1570,381,309
m,283,275,205,1580,387,314
m,287,279,209,1590,393,319
m,291,283,212,1600,399,324
m,294,287,215,1610,405,329
m,298,290,219,1620,412,334
m,302,294,222,1630,418,339
m,305,298,225,1640,424,344
m,309,301,229,1650,430,349
m,313,305,232,1660,436,354
m,316,309,236,1670,442,359
m,320,312,239,1680,448,364
m,324,316,242,1690,454,369
m,328,320,246,1700,460,374
m,331,323,249,1710,466,379
m,335,327,252,1720,472,384
m,338,331,256,1730,478,389
m,342,334,259,1740,485,394
m,346,338,262,1750,491,399
m,349,342,266,1760,497,404
m,353,345,269,1770,503,409
m,357,349,273,1780,509,415
m,361,353,276,1790,515,420
m,364,356,279,1800,521,425
m,368,360,283,1810,527,430
m,372,364,286,1820,533,435
m,375,368,289,1830,539,440
m,379,371,293,1840,545,445
m,383,375,296,1850,551,450
m,387,379,300,1860,557,455
