# resource: Rollet 1888, pp. 16-23. s. https://archive.org/details/BIUSante_57377/page/n17/mode/2up
# description: Data as given without calculated columns and stature in millimeters as for the measures. 
# Further explanation mentions a general shrinking of the bones by app. 2 mm within eight to ten months 
# after the first measures in fresh condition. This differentiation is shown in the tables for
# the femora only. (Rollet 1888 p.24) 
Nr,Sex,Age,Stature,Femur.right,Femur.left,Femur.right.dry,Femur.left.dry,Tibia.right,Tibia.left,Fibula.right,Fibula.left,Humerus.right,Humerus.left,Radius.right,Radius.left,Ulna.right,Ulna.left
1,m,52,1520, ,396,,396,314,312,310,310,290,285,224,220,237,234
2,m,71,1540,406,415,405,415,350,350,345,344,305,301,236,230,254,247
3,m,51,1570,414, ,410,,352,350,339,342,305,300,218,218,235,234
4,m,81,1580,435,430,432,428,345,345,338,338,305, ,228, ,247, 
5,m,67,1690,441,440,438,434,347,343,345,343,325,320,234,231,257,254
6,m,85,1600,440,442,435,438,362,362,352,352,321,320,240,234,255,255
7,m,79,1600,423,420,420,418,342,342,336,336,310,305,225,222,237,235
8,m,50,1600,428,435,428,432,338,334,336,334,314,310,244,243,225,220
9,m,50,1610,440,432,440,432,360, ,352,352,330,328,249, ,264, 
10,m,67,1610,421,418,418,415,348,342,338,337,304,300,221,219,238,234
11,m,57,1620,440,442,435,440,377,377,368,368,328,324,232,228,255,249
12,m,82,1620,433,438,430,435,355,352,347,347,316,314,243,237,262,260
13,m,79,1630,436,442,434,440,368,368,358,358,318,315,236,236,254,252
14,m,82,1630,449,448,445,445, ,360, ,358, ,330,248,244,269,263
15,m,71,1630,474,473,470,470,356,355,355,355,320,312,234,228,251,243
16,m,42,1630,445,438,442,435,360,355,352,352,325,317,238,233,255,250
17,m,65,1640,430,430,430,430,352,348,344,343,315,313,231,227,247,245
18,m,35,1640,414,420,410,416,357,357,368,365,326,324,245,244,260,258
19,m,45,1640,452,460,455,456,360,360,355,351,320,317,237,235,256,254
20,m,64,1650,440,444,436,440,360,361,350,352,327,325,240,234,260,255
21,m,84,1660,458,454,455,450,378,378,373,370,333,328,241,240,262,261
22,m,24,1660,467,474,465,471,391,390,375,375,340,335,249,246,260,263
23,m,92,1660,464,469,471,473,368,365,375,374,339,335,260,254,275,271
24,m,39,1660,430,434,425,430,355,350,358,353,323,316,235,234,254,252
25,m,80,1660,454,453,451,450,380,380,375,375,340,338,253,250,264,260
26,m,51,1670,464,465,460,461,374, ,365, ,336,334,250,248,269,265
27,m,71,1670,464,465,465,460,375, ,362, ,361,355, ,248, ,255
28,m,42,1670,440,440,440,441,372,372,364,362,328,320,244,240,261,259
29,m,58,1670,450,445,445,443,368,364,360,360,333,328,246,245,262,260
30,m,79,1670,447,444,445,442,372,369,362,356,322,314, ,238, ,260
31,m,48,1680,452,452,452,452,367,365,364,360,324,320,240,235,262,260
32,m,75,1690,485,485,480,482,390,385,385,377,342,338,258,255,280,276
33,m,60,1690,494,490,492,489,390,388,385,382,354,350,265,263,282,280
34,m,75,1700,473,474,470,471,359,359,357,357,330,325,237,235,253,250
35,m,63,1700,444,447,440,444,380,378,366,366,344,334,248,246,260,257
36,m,73,1700,456,452,450,457,378,379,379,379,329,327,249,248,269,267
